Species,Class
Poa sp ,graminoid
Agropyron sp ,graminoid
Lupinus sp ,forb
Carex sp ,graminoid
Verbascum sp ,forb
Bromus tectorum,graminoid
Stipa comata,graminoid
Festuca campestris,graminoid
Poa pratensis,graminoid
Balsamorhiza sagittata,forb
Medicago sativa,forb
Salix sp stem,shrub
Elymus glaucus,graminoid
Centaurea stoebe,forb
Bromus inermis,graminoid
Other Grass,graminoid
Festuca idahoensis,graminoid
Shepherdia canadensis leaf,shrub
Physocarpus malvaceus leaf,shrub
Calamagrostis rubescens,graminoid
Other Forb,forb
Pseudoroegneria spicata,graminoid
Composite hair,comphair
Pinus sp ,tree
Vaccinium sp stem,shrub
Achillea millefolium,forb
Phleum pratense,graminoid
Cirsium sp ,forb
Astragalus sp ,forb
Trifolium sp ,forb
Alopecurus sp ,graminoid
Taraxacum sp ,forb
Koeleria macrantha,graminoid
Other Shrub leaf,shrub
Galium sp ,forb
Ranunculus sp ,forb
Solidago sp ,forb
Other Shrub stem,shrub
Agropyron cristatum,graminoid
Equisetum sp ,forb
Populus sp stem,tree
Potentilla sp ,forb
Symphoricarpos albus,shrub
Berberis repens leaf,shrub
Dactylis glomerata,graminoid
Salix sp leaf,shrub
Zea mays,graminoid
Phlox sp ,forb
Cornus sp leaf,forb
Aristida purpurea,graminoid
Xerophyllum tenax,forb
Prunus sp leaf,shrub
Triticum aestivum,graminoid
Shepherdia canadensis,shrub
Other Shrub,shrub
Pinus contorta,tree
Stipa sp ,graminoid
Bromus sp ,graminoid
Juncus sp ,graminoid
Physocarpus malvaceus,shrub
Ceanothus velutinus,shrub
Chamerion angustifolium,forb
