"Species","mean"
"ACHMIL",2.86666085647263
"AGRCRI",2.93057002064906
"AGRO SP",2.74095503990821
"AGRSMI",2.95058104170896
"ALOPRA",2.95058104170896
"ARIPUR",2.8945657713498
"ASTINF",3.09168836106879
"ASTMIS",3.17569023947562
"ASTR SP",3.22230078677945
"BALSAG",3.19846758142958
"BROINE",2.63413234894874
"BROTEC",2.62631848927328
"CALRUB",3.04757830077259
"CARAQU",3.2651356191337
"CARBEB",3.2651356191337
"CARBRE",3.24476378296418
"CARCON",3.14937205046385
"CARE SP",3.1704184966179
"CARGEY",3.2095769088037
"CARMIC",3.2651356191337
"CARPAC",3.2651356191337
"CARPEL",3.2651356191337
"CARROS",3.14267269385885
"CARUTR",3.26287208178153
"CARVES",3.20390415649627
"CENSTO",2.82785494453677
"CHAANG",3.00637876657995
"CIRARV",3.12138617954581
"CIRHOO",3.12856974029711
"CIRS SP",2.91826694177706
"CIRVUL",3.05322616268622
"DACGLO",3.0942334614881
"ELYGLA",2.85365727895131
"EQUARV",3.51055469205801
"EQUHYE",3.48857037213383
"EQULAE",3.52078508710972
"EQUVAR",3.52078508710972
"FESCAM",3.022280807869
"FESIDA",2.99053881616789
"GALBOR",3.05398565760939
"GALTRI",2.93409161122863
"KOEMAC",2.96506354902888
"LUPARG",3.17162387798381
"LUPI SP",3.00153592448163
"LUPLEU",3.13013854865857
"LUPSER",3.10592414671936
"MEDSAT",3.22698606368099
"PHLPRA",2.93237661067463
"PHYMAL",2.5556910050211
"POA SP",3.19340514802396
"POABUL",2.83997497840354
"POACOM",2.91994404365148
"POAFEN",2.96275826323265
"POAPAL",2.96275826323265
"POAPRA",2.96921048614655
"POASEC",2.91186226563908
"POAWHE",2.9457776269156
"POTANS",3.128811363875
"POTARG",3.02546566813938
"POTE SP",3.128811363875
"POTGRA",3.09020040536321
"POTREC",2.95844048407986
"PSESPI",2.87002583298927
"RANGLA",3.128811363875
"RANU SP",3.128811363875
"RANUNC",3.12853522264313
"SALI SP",2.0471992234614
"SALSCO",2.00966540700775
"SHECAN",3.08191865117964
"SOLMIS",3.01517963981562
"STICOM",2.94380222705175
"SYMALB",2.96145913456468
"TAROFF",3.09433652700342
"THIINT",2.95585810590342
"TRIAES",3.00471052035425
"TRIARV",3.03228396759553
"TRIAUR",3.03228396759553
"TRIF SP",3.128811363875
"TRIGYM",3.128811363875
"TRIPRA",3.02751115797623
"TRIREP",2.96828943804034
"VACCAE",2.28969056741875
"VACMEM",2.01051203475429
"VACSCO",2.03747195601855
"VERBLA",2.21041308457669
"VERTHA",2.59540053040621
"ZEAMAY",3.32916967948959
