"","NameGenus","SE.gns.de","EM.gns.de","FL.gns.de","FR.gns.de"
"1","Achillea sp",1.97180481285773,3.22387630368204,2.79310061443123,2.20721170034657
"2","Agropyron sp",2.72787417248505,3.14709869735604,3.03892170511357,2.74095503990821
"3","Astragalus sp",3.01727232860909,3.28779641982792,3.13896315810844,2.96058215196833
"4","Balsamorhiza sp",2.81134656370845,3.59993406513164,3.41247889441467,2.94496350755244
"5","Berberis sp",2.67593440792388,2.99839577135259,2.80824661880589,2.87393890528719
"6","Bromus sp",2.89656152466012,3.29457782269018,3.22628736956384,3.0316454242152
"7","Carex sp",3.1981975529688,3.22400671988545,3.22472301014253,3.25089284841478
"8","Centaurea sp",2.32102062051902,3.29433599243781,2.67260599141724,2.48045422936584
"9","Chamerion sp",2.72146607172074,3.38981495005034,3.00299063618398,2.76994926154409
"10","Danthonia sp",2.79102059951256,3.22137435012358,3.11494369423579,2.88444116811194
"11","Elymus sp",2.48342145365352,3.27758134868936,2.92958731953454,2.70921656406889
"12","Equisetum sp",3.2425128912578,3.52078508710972,3.18647708377088,3.23085265232665
"13","Festuca sp",2.76257586683914,3.25147464594476,3.13760874860479,2.79363351022644
"14","Koeleria sp",2.61078838049257,3.30095429811188,3.07291897310387,2.74826172267477
"15","Linnaea sp",3.2173233873188,3.41114637842412,3.08068110527131,3.05978262251335
"16","Lupinus sp",2.76946309217595,3.40788604340629,3.08147091909197,3.07282525875876
"17","Medicago sp",2.63795979918174,3.3028968646188,3.23315398700352,2.88862712125993
"18","Phleum sp",2.80051577696045,3.26658475727115,2.87026444471322,2.79059517182293
"19","Pinus sp",NA,2.2728117253426,NA,NA
"20","Poa sp",2.73547401009241,3.2114983324389,2.96391829458102,2.65935795532938
"21","Pseudoroegneria sp",2.59236909610319,2.96419763596585,2.99839379847089,2.78122953546224
"22","Salix sp",2.03851431431657,2.00966540700775,2.00356324468075,1.93950160590379
"23","Shepherdia sp",3.17755617179194,3.25985285577744,NA,3.28036050887235
"24","Stipa sp",2.49976987405364,2.93049089357393,2.93515069707447,2.78717295930428
"25","Triticum sp",2.94045565935519,3.39130617454837,3.25135033900788,3.20145705012387
"26","Vaccinium sp",1.89255312741843,2.28969056741875,2.22328429214697,1.82525874393225
"27","Verbascum sp",1.97501936260103,2.33975137042421,2.68093651632852,2.08107479872917
"28","Xerophyllum sp",1.87722427281049,2.22802463254966,2.62227110080052,2.24567828856356
"29","Zea sp",3.4845453661519,3.27793811350638,3.25736011970538,3.50344237124024
