"Landcover","MeanDE","StDev"
"Dry Ag",2.84264829726236,0.0789645492890589
"Dry Forest (Burn >15)",2.80930877213271,0.317145667916473
"Dry Forest Burn 0-5",2.99298178913664,0.0466479151784355
"Dry Forest Burn 6-15",2.62087948419043,0.317243429853254
"Grass/Shrub/Open Woodland",2.75426375696619,0.267566915616071
"Irrigated Ag",3.06631091157493,0.154746009051989
"Mesic Forest (Burn >15)",2.30987476891898,0.345771860564813
"Mesic Forest Burn 0-5",2.76229746049,0.123757856481995
"Mesic Forest Burn 6-15",2.6715569442986,0.17755732881635
"Riparian",2.71530011306577,0.560492544048136
"Rx Dry Forest Burn 0-5",2.91063062711874,0.154223390809973
