"class_name","landcov","AvgGherb"
"Mesic Forest (Burn >15)",1,9.30966073552914
"Rx Dry Forest Burn 0-5",12,17.9294401124074
"Dry Forest Burn 0-5",8,22.141554985755
"Montane Riparian",6,22.4647272519218
"Mesic Forest Burn 0-5",10,23.6379651310254
"Mesic Forest Burn 6-15",11,24.4756781705949
"Dry Forest (Burn >15)",2,29.8882187236449
"Dry Forest Burn 6-15",9,36.3533747370795
"Dry Ag",4,38.954779622763
"Valley Bottom Riparian",5,39.3629656021844
"Grass/Shrub/Open Woodland",3,41.9447254901869
"Irrigated Ag",7,120.192498183564
