Species,a.Leaves,b.Leaves,fcn.Leaves,src.Leaves,a.Stems,b.Stems,fcn.Stems,src.Stems
AMEALN,8.0903,0.0158,E,Visscher - Amelanchier alnifolia,12.497,0.0795,E,Visscher - Amelanchier alnifolia
BERREP,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
BETGLA,6.7647,0.0649,E,Visscher - Betula glandulosa,11.769,0.1275,E,Visscher - Betula glandulosa
LONINV,5.6246,0.1309,E,Visscher - Lonicera involucrate,2.9915,7.4554,L,Visscher - Lonicera involucrate
PHYMAL,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
POPBAL,5.6051,0.1022,E,Visscher - Populus balsamifera,11.628,0.0695,E,Visscher - Populus balsamifera
POPTRE,6.8053,0.1043,E,Visscher - Populus tremuloides,11.098,0.0804,E,Visscher - Populus tremuloides
RIBE SP,6.0827,0.1231,E,Visscher - Ribes spp.,12.246,0.1184,E,Visscher - Ribes spp.
RIBHUD,6.0827,0.1231,E,Visscher - Ribes spp.,12.246,0.1184,E,Visscher - Ribes spp.
RIBLAC,6.0827,0.1231,E,Visscher - Ribes spp.,12.246,0.1184,E,Visscher - Ribes spp.
ROSA SP,5.8146,0.1431,E,Visscher - Rosa acicularis,12.668,0.0893,E,Visscher - Rosa acicularis
ROSACI,5.8146,0.1431,E,Visscher - Rosa acicularis,12.668,0.0893,E,Visscher - Rosa acicularis
ROSGYM,5.8146,0.1431,E,Visscher - Rosa acicularis,12.668,0.0893,E,Visscher - Rosa acicularis
ROSWOO,5.8146,0.1431,E,Visscher - Rosa acicularis,12.668,0.0893,E,Visscher - Rosa acicularis
RUBIDA,6.9152,0.0805,E,Visscher - Rubus idaeus,6.8652,0.0717,E,Visscher - Rubus idaeus
SALI SP,7.5952,0.0556,E,Visscher - Salix spp.,2.981,1.0745,L,Visscher - Salix spp.
SALSCO,7.5952,0.0556,E,Visscher - Salix spp.,2.981,1.0745,L,Visscher - Salix spp.
SHECAN,5.7944,0.1139,E,Visscher - Sheperdia canadensis,12.238,0.1286,E,Visscher - Sheperdia canadensis
SYMALB,6.3794,0.0918,E,Visscher - Rosa acicularis,0.189,2.184,P,Visscher - Symphoricarpos albus
VACMEM,0.053,0.025,P,NSERP - Vaccinium scoparium,0.0656,1.0776,E,Visscher - Vaccinium spp.
VACSCO,0.053,0.025,P,NSERP - Vaccinium scoparium,0.0656,1.0776,E,Visscher - Vaccinium spp.
VACCAE,0.053,0.025,P,NSERP - Vaccinium scoparium,0.0656,1.0776,E,Visscher - Vaccinium spp.
ALNINC,8.1504,0.0861,E,Visscher - Alnus crispa,12.688,0.091,E,Visscher - Alnus crispa
ALNVIR,8.1504,0.0861,E,Visscher - Alnus crispa,12.688,0.091,E,Visscher - Alnus crispa
ARTDRA,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
ARTFRI,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
ARTLUD,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
ARTTRI,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
ERINAU,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
LEDGLA,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
MENFER,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
PRUVIR,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
CHRVIS,6.3794,0.0918,E,Visscher - Generic,12.28,0.0854,E,Visscher - Generic
