"PlantCode","NameScientific"
"AMEALN","Amelanchier alnifolia"
"BERREP","Berberis repens"
"BETGLA",NA
"LONINV","Lonicera involucrata"
"PHYMAL","Physocarpus malvaceus"
"POPBAL","Populus balsamifera"
"POPTRE","Populus tremuloides"
"RIBE SP","Ribes sp."
"RIBHUD","Ribes hudsonianum"
"RIBLAC","Ribes lacustre"
"ROSA SP","Rosa sp."
"ROSACI","Rosa acicularis"
"ROSGYM","Rosa gymnocarpa"
"ROSWOO","Rosa woodsii"
"RUBIDA","Rubus idaeus"
"SALI SP","Salix sp."
"SALSCO","Salix scouleriana"
"SHECAN","Shepherdia canadensis"
"SYMALB","Symphoricarpos albus"
"VACMEM","Vaccinium membranaceum"
"VACSCO","Vaccinium scoparium"
"VACCAE","Vaccinium caespitosum"
"ALNINC","Alnus incana"
"ALNVIR","Alnus viridis "
"ARTDRA","Artemisia dracunculus"
"ARTFRI","Artemisia frigida"
"ARTLUD","Artemisia ludoviciana"
"ARTTRI","Artemisia tridentata"
"ERINAU","Ericameria nauseosa"
"LEDGLA","Ledum glandulosum"
"MENFER","Menziesia ferruginea "
"PRUVIR","Prunus virginiana"
"CHRVIS","Chrysothamnus viscidiflorus"
